Year	White	Black	Asian	Two 	Other	Hispanic
2000	0.764556653	0.133875355	0.059082434	0.027355809	0.015129749	0.108995324
2001	0.766363748	0.133550289	0.058301609	0.02677146	0.015012895	0.114024315
2002	0.769064125	0.133077494	0.056697202	0.02624412	0.014917059	0.119522159
2003	0.770915653	0.13263433	0.05594101	0.02566815	0.014840857	0.1246072
2004	0.773568337	0.132221037	0.054381233	0.025089381	0.014740011	0.130151164
2005	0.775980284	0.131789314	0.053082246	0.024487346	0.014660811	0.135928465
2006	0.778421572	0.131355258	0.051765305	0.023908822	0.014549043	0.142020311
2007	0.780764789	0.130918773	0.050558193	0.023354292	0.014403952	0.148209932
2008	0.783137204	0.130447433	0.049334023	0.022759602	0.014321738	0.154500194
2009	0.785702644	0.130064869	0.048342406	0.021873065	0.014017016	0.160804512
2010	0.788490628	0.129661296	0.047352844	0.020881289	0.013613943	0.166918777
2011	0.791355443	0.129269993	0.046243734	0.019885138	0.013245693	0.172459582
2012	0.79412159	0.12882901	0.045177291	0.0189691	0.01290301	0.177927475
2013	0.79686654	0.128451543	0.044024093	0.018069843	0.012587981	0.183540877
2014	0.799590164	0.128107923	0.042827869	0.017213115	0.012260929	0.189173497
2015	0.802150834	0.127774714	0.04170688	0.016372536	0.011995037	0.195057218
2016	0.804679623	0.127524945	0.040503425	0.015575566	0.011716441	0.199805305
2017	0.807277959	0.127241464	0.0392322	0.014808576	0.011439801	0.20686388
2018	0.809930536	0.126913808	0.037957187	0.01403459	0.011163879	0.212184576
